Operation,Time (ms),Events,Exchange Name,Model Name,Execution Time
ValidateExhange:ListOfSelectedObjectIDs,18,2,Demo20241212105034,2,
CreateExchangeAsync,7410,1,Demo20241212105034,2,
UpdateExchangeAsync,88372,2,Demo20241212105034,2,
GetExchangeFromCache,0,1,Demo20241212105034,2,
UpdateExchangeAsync:StartUploadRhinoObjects,1375,1,Demo20241212105034,2,
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,1360,11,Demo20241212105034,2,
ExportAndCreateBrep,642,22,Demo20241212105034,2,
CreateBRepElement:CreateBRepGeometry,640,22,Demo20241212105034,2,
CreateCustomParameter:CreateParameter,579,283,Demo20241212105034,2,
GetSchemaAsync,25,566,Demo20241212105034,2,
GetSchemaAsync:GetFromResource,11,566,Demo20241212105034,2,
UpdateExchangeAsync:SyncExchangeDataAsync,23984,1,Demo20241212105034,2,
SyncExchangeDataAsync,23971,1,Demo20241212105034,2,
ProcessRenderStylesFromFileGeometry,3,1,Demo20241212105034,2,
GetAllAssetInfosWithTranslatedGeometryPath,10188,1,Demo20241212105034,2,
GUSDK:GeometriesToInternal,10151,1,Demo20241212105034,2,
UploadGeometries,4353,1,Demo20241212105034,2,
UploadBinaryPacksAsGeometries,4086,1,Demo20241212105034,2,
UploadCustomGeometries,68129,0,Demo20241212105034,2,
AssetToSyncResult,83,1,Demo20241212105034,2,
GetSchemasAsync,0,1,Demo20241212105034,2,
RelationshipToSyncRequest,5,1,Demo20241212105034,2,
SchemaToSyncRequest,3,1,Demo20241212105034,2,
PrepareBatchedSyncRequests,3,1,Demo20241212105034,2,
TriggerBatchedSyncRequests,78,1,Demo20241212105034,2,
TriggerProcessGeometry,1,1,Demo20241212105034,2,
WaitForAllSyncCalls,2305,1,Demo20241212105034,2,
FinishFulfillment,1016,1,Demo20241212105034,2,
PollForFulfillment,4770,1,Demo20241212105034,2,
SaveToCache,77,1,Demo20241212105034,2,
UpdateExchangeAsync:GenerateViewableAsync,50835,1,Demo20241212105034,2,
GenerateACCViewable,20806,1,Demo20241212105034,2,
GetLatestExchangeDataAsync,32118,3,Demo20241212105034,2,
GetExchangeFromCache,0,1,Demo20241212105034,2,
GetExchangeAssetsRelationships,2300,1,Demo20241212105034,2,
ParentTasks,1416,1,Demo20241212105034,2,
AssetsParallelAlreadyRetrieved,0,1,Demo20241212105034,2,
AssetsandRelsSync,848,1,Demo20241212105034,2,
